OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
133,Historic Preservation District, ,O85-1021,10/25/1985 5:00:00 AM,Woodland-in-Waverly, , ,f7eee5a6-df62-4c8e-bec5-e0c3e75dcffb
134,Bed and Breakfast,93Z-025U,O93-645,7/27/1993 5:00:00 AM,, , ,6e0aee94-4818-41fe-aa9a-410fa5b45a46
135,Bed and Breakfast,2014Z-007PR-001,BL2014-674,3/28/2014 5:00:00 AM,,,,d36431be-bce8-4d73-9307-5db4259cbbc6
136,Urban Design Overlay,2014UD-001-001,BL2014-682,3/28/2014 5:00:00 AM,Clayton Avenue,,,1d10e3b7-28e0-4079-8eae-94fb3af68304
137,Neighborhood Landmark,2014NL-001-001,BL2014-673,3/28/2014 5:00:00 AM,Gallatin Pikeke,,,23955347-8e48-45be-b9e1-abfed366a434
138,Neighborhood Conservation,2014NHC-003-001,BL2014-737,5/23/2014 5:00:00 AM,Lockeland Springs - East End,,,68d5d7f6-9e94-4a08-8bae-43fa2e8a54d3
139,Neighborhood Conservation,2003Z-035U-05,BL2003-1369,5/24/2003 5:00:00 AM,Lockeland Springs - East End, , ,3251381d-d2d6-48ed-bcf9-7b7847201619
140,Neighborhood Landmark,2014NL-002-001,BL2014-764,6/20/2014 5:00:00 AM,Simpkins Grocery,,,33a485e1-e833-4b16-9f65-04d2ee977849
141,Neighborhood Conservation,2014NHC-001-002,BL2014-801,7/25/2014 5:00:00 AM,Hillsboro-West End,,,72ce00c2-de5a-4511-850d-65b92778761b
142,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,F1, ,b7af1a55-65e6-4711-a19c-d41e5ea2f138
143,Neighborhood Conservation,2005Z-181U-10,BL2005-902,1/21/2006 6:00:00 AM,Hillsboro-West End,,,9d08175d-5a48-480c-a57c-72a5ac887f38
144,Neighborhood Conservation,2014NHC-003-002,BL2014-812,7/25/2014 5:00:00 AM,Lockeland Springs - East End,,,0987cca6-6c77-4db1-b861-63c6e584cdb5
145,Neighborhood Landmark,2014NL-003-001,BL2014-886,10/24/2014 5:00:00 AM,Cowboy Jack Music Studio,,,7ae8002e-4026-4191-b543-ad9936b447db
